Genetic ID,Master ID,Skeletal code,Skeletal element,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]",Publication,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE",Age at Death from physical anthropology,Group ID,Locality,Political Entity,Lat.,Long.,Pulldown Strategy,Data source,No. Libraries,1240k coverage (taken from original pulldown where possible),SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),Molecular Sex,Family ID and position within family,Y haplogroup (manual curation in terminal mutation format),Y haplogroup (manual curation in ISOGG format),mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,mtDNA match to consensus if >2x (merged data),Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,ASSESSMENT,"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0."
I1072_enhanced_d,I1072,"NAT9, Raqefet, H16",petrous,2016,LazaridisAlpaslanRoodenbergScience2022 (higher coverage of previously reported individual from LazaridisNature2016),Context: Archaeological - Period,12700,722,12000-9500 BCE,..,Israel_Natufian_d,Raqefet Cave,Israel,32.65,35.067,Repulldown on 3.2M snpset,1240K,16,0.112,118979,63516,M,n/a (no relatives detected),..,..,8.193132,N1b,"[0.902,0.98]",0.922,0.394,"ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ss.half,ss.half,ss.half,ss.half,ss.half,ss.half,ss.half,ss.half","S1072.E3.L1,S1072.E3.L2,S1072.E2.L2,S1072.E2.L1,S1072.E1.L2,S1072.E1.L3,S1072.E1.L1,S1692.E1.L1,S1072.E2.L10,S1072.E2.L7,S1072.E2.L8,S1072.E2.L9,S1692.E1.L5,S1692.E1.L6,S1692.E1.L7,S1692.E1.L8",PASS,..
I1072_d,I1072,"NAT9 (H16) | NAT9 (Raqefet, H16)",petrous,2016,LazaridisNature2016,Context: Archaeological - Period,12700,722,12000-9500 BCE,..,Israel_Natufian,Raqefet Cave,Israel,32.65,35.067,Repulldown on 3.2M snpset,1240K,8,0.034,85253,45904,M,n/a (no relatives detected),..,..,1.897519,n/a (<2x),n/a (<2x),..,0.391066161,"ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half","S1072.E3.L1,S1072.E3.L2,S1072.E2.L2,S1072.E2.L1,S1072.E1.L2,S1072.E1.L3,S1072.E1.L1,S1692.E1.L1",PASS,..
I1072,I1072,"NAT9 (H16) | NAT9 (Raqefet, H16)",petrous,2016,LazaridisNature2016,Context: Archaeological - Period,12700,722,12000-9500 BCE,..,Israel_Natufian_contam,Raqefet Cave,Israel,32.65,35.067,Repulldown on 3.2M snpset,1240K,8,0.553,436715,234273,M,n/a (no relatives detected),..,..,12.656105,N1b,"[0.934,0.984]",..,..,"ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half","S1072.E3.L1,S1072.E3.L2,S1072.E2.L2,S1072.E2.L1,S1072.E1.L2,S1072.E1.L3,S1072.E1.L1,S1692.E1.L1",PASS,..
I1415_enhanced,I1415,AG84/2; 416,petrous,2016,LazaridisAlpaslanRoodenbergScience2022 (higher coverage of previously reported individual from LazaridisNature2016),Direct: IntCal20; date suspect because C:N ratio of 4.15,9827,132,"8176-7608 calBCE (8790±50 BP, Poz-81101)",..,Jordan_PPNB,'Ain Ghazal,Jordan,31.988,35.976,Repulldown on 3.2M snpset,1240K,4,0.089108,97252,51637,M,n/a (no relatives detected),..,..,23.444746,T1a2,"[0.935,0.976]",0.231,0.382163653,"ds.half,ds.half,ds.half,ds.half","S1415.E1.L1,S1415.E1.L2,S1415.E1.L3,S1415.E1.L4",PASS,"mtcontam=[0.935,0.976]"
I1701_enhanced,I1701,"AG83_3; AG83 3075 044 burial B, temporal bone",petrous,2016,LazaridisAlpaslanRoodenbergScience2022 (higher coverage of previously reported individual from LazaridisNature2016),Direct: IntCal20,9600,57,"7752-7543 calBCE (8620±50 BP, Poz-81094)",..,Jordan_PPNB,'Ain Ghazal,Jordan,31.988,35.976,Repulldown on 3.2M snpset,1240K,3,0.029697,32786,17329,F,n/a (no relatives detected),n/a (female),n/a (female),14.818215,K1a18,"[0.929,0.975]",0.2185,0.019157088,"ds.half,ds.half,ds.half","S1701.E1.L1,S1701.E1.L3,S1701.E1.L2",PASS,"mtcontam=[0.929,0.975]"
I1707,I1707,"AG83_5 (AG 83 3074 018, plastered skull)",petrous,2016,LazaridisNature2016,Direct: IntCal20,9569,54,"7732-7537 calBCE (8590±50 BP, Poz-81097)",..,Jordan_PPNB,'Ain Ghazal,Jordan,31.988,35.976,Repulldown on 3.2M snpset,1240K,1,0.142,146505,78477,M,n/a (no relatives detected),..,..,20.3,R0a,"[0.884,0.929]",0.158,0.436,ds.half,S1707.E1.L1,QUESTIONABLE,"mtcontam=[0.884,0.929]"
I1709_enhanced,I1709,"AG84_8; AG 84 3083 116, skull cache",petrous,2016,LazaridisAlpaslanRoodenbergScience2022 (higher coverage of previously reported individual from LazaridisNature2016),Context: Archaeological - Period,10050,115,8300-7900 BCE,..,Jordan_PPNB,'Ain Ghazal,Jordan,31.988,35.976,Repulldown on 3.2M snpset,1240K,1,0.017231,19307,10307,M,n/a (no relatives detected),..,..,0.9162,n/a (<2x),n/a (<2x),0.264,0.423597679,ds.half,S1709.E1.L1,PASS,..
I1710,I1710,"AG83_6 (AG 83 3074 043, baby 1)",petrous,2016,LazaridisNature2016,Direct: IntCal20,9565,63,"7741-7522 calBCE (8580±60 BP, Poz-81098)",..,Jordan_PPNB,'Ain Ghazal,Jordan,31.988,35.976,Repulldown on 3.2M snpset,1240K,1,0.117,124479,66911,M,n/a (no relatives detected),..,..,48.5,T1a2,"[0.992,0.998]",0.171,0.447,ds.half,S1710.E1.L1,PASS,..
I1704,I1704,"AG89_1 (AG89 3279 004, burial 1)",petrous,2016,LazaridisNature2016,Direct: IntCal20; date suspect because C:N ratio of 4.72,9159,97,"7451-7056 calBCE (8190±60 BP, Poz-81095)",..,Jordan_PPNB_contam,'Ain Ghazal,Jordan,31.988,35.976,Repulldown on 3.2M snpset,1240K,1,0.164,166176,88723,F,n/a (no relatives detected),n/a (female),n/a (female),21.7,T,"[0.771,0.878]",0.187,0.009,ds.half,S1704.E1.L1,QUESTIONABLE_CRITICAL,"mtcontam=[0.771,0.878]"
I1727,I1727,AG_83_3082 (AG 83 3082),petrous,2016,LazaridisNature2016,Context: Archaeological - Period,10050,115,8300-7900 BCE,..,Jordan_PPNB_contam,'Ain Ghazal,Jordan,31.988,35.976,Repulldown on 3.2M snpset,1240K,1,0.041,46053,24432,M,n/a (no relatives detected),..,..,8.89,T1a2,"[0.781,0.899]",0.206,0.446,ds.half,S1727.E1.L1,QUESTIONABLE_CRITICAL,"mtcontam=[0.781,0.899]"
