Genetic ID,Master ID,Skeletal code,Skeletal element,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]",Publication,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE",Age at Death from physical anthropology,Group ID,Locality,Political Entity,Lat.,Long.,Pulldown Strategy,Data source,No. Libraries,1240k coverage (taken from original pulldown where possible),SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),Molecular Sex,Family ID and position within family,Y haplogroup (manual curation in terminal mutation format),Y haplogroup (manual curation in ISOGG format),mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,mtDNA match to consensus if >2x (merged data),Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,ASSESSMENT,"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0."
I13833,I13833,"1234; Tumulus 2, grave 3, ind. 1, 2",petrous,2022,LazaridisAlpaslanRoodenbergScience2022,"Context: Date(s) on individuals with >20cM IBD stretches (I13835, I13836, I13837); ignore a date that must be wrong also due to the very unexpected ancestry of 1121-936 calBCE (2870±20 BP, PSUAMS-5941) calibrated as IntCal20",325,101,1450-1800 CE,Young adult; 17-19 yrs.,Albania_EarlyModern_oCaucasus,"Barç (Southeast, Korça Basin)",Albania,40.625278,20.801111,Repulldown on 3.2M snpset,1240K,3,13.211,1000701,538257,M,n/a (no relatives detected),..,..,1150.387048,X2e1,"[0.985,0.997]",0.122,0.435054726,"ds.half,ss.half,ss.half","S13833.Y1.E1.L1,S20786.Y1.E1.L1,S20790.Y1.E1.L1",PASS,..
I13559,I13559,SBH #11,tooth,2020,FernandesSirakNature2020,Context: Archaeological - Period,750,173,900-1500 CE,..,Bahamas_SouthAndros_Ceramic,"South Andros, Sanctuary Blue Hole",Bahamas,24.1,-77.55,Repulldown on 3.2M snpset,1240K,1,0.09952,110533,60233,M,n/a (no relatives detected),..,..,1057,B2e,"[0.989,0.999]",0.097,0.393,ds.half,S13559.E1.L1,PASS,..
I24542_d,I24542,2145 (MHCP.19.12.10),petrous,2022,KennettLipsonPruferNatureCommunications2022,"Context: IntCal20 on associated charcoal 2889-2672 calBCE (4195±25 BP, PSUAMS-7434)",4725,101,2950-2600 BCE,old adult ,Belize_4600BP,Mayahak Cab Pek,Belize,16.497398,-88.90496,Repulldown on 3.2M snpset,1240K,1,0.158,144946,77129,F,n/a (no relatives detected),n/a (female),n/a (female),4.018951,C1c,"[0.832,0.959]",0.81,0.012,ds.half,S24542.Y1.E1.L1,PASS,"mtcontam=[0.832,0.959]"
I19493_in.preparation,I19493,"Kap. Andreevo, Kyuchuk Chair, Pit 199",bone (long bone),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,2750,173,1100-500 BCE,Newborn,Bulgaria_EIA,Kapitan Andreevo (South),Bulgaria,41.73,26.33,Repulldown on 3.2M snpset,1240K,2,0.066,72615,38349,F,n/a (no relatives detected),n/a (female),n/a (female),100.725149,K1a4a1,"[0.963,0.983]",0.304,0.014885875,"ss.half,ss.half","S19493.Y1.E1.L1,S19493.Y1.E2.L1",PASS,..
I16326,I16326,"2111 (P7A-32607, Obj. 10, gr ?)",petrous,2021,PattersonNature2021,Context: Archaeological - Period,2625,72,800-550 BCE,..,Czech_IA_Hallstatt,"NW Bohemia, Louny, Stradonice",Czech Republic,50.291389,14.045556,Repulldown on 3.2M snpset,1240K,1,1.043185,487289,262694,F,n/a (no relatives detected),n/a (female),n/a (female),136.3,H7,"[0.966,0.992]",0.096,0.017,ss.half,S16326.Y1.E1.L1,PASS,damage.ss.half=0.096
I8122,I8122,LSOC_19A,petrous,2020,FernandesSirakNature2020,"Context: Date(s) from same site (I13192, I13195, I8118, I13189, I13190,I20527)",1150,173,850-1450 CE,..,Dominican_ElSoco_Ceramic,El Soco,Dominican Republic,18.447,-69.187,Repulldown on 3.2M snpset,1240K,1,0.184467,189178,102125,F,n/a (no relatives detected),n/a (female),n/a (female),19.7,A2z,"[0.987,1.000]",0.068,0.016,ds.half,S8122.E1.L1,PASS,..
I14200,I14200,"50875-1291, Archer (Amesbury Archer)",tooth (molar),2021,PattersonNature2021,Direct: IntCal20,4328,57,"2470-2239 calBCE (3895±32 BP, OxA-13541)",35-45,England_BellBeaker_highEEF,"England, Wiltshire, Amesbury Down",United Kingdom,51.168023,-1.7725402,Repulldown on 3.2M snpset,1240K,9,0.158,158917,84909,M,n/a (no relatives detected),R-L151,R1b1a1b1a1a,445.927395,K1b1a,"[0.983,0.995]",0.161,0.361991761,"ds.half,ds.half,ss.half,ss.half,ss.half,ss.half,ss.half,ss.half,ss.half","S14200.Y1.E1.L1,S14200.Y1.E2.L1,S14200.Y1.E10.L1,S14200.Y1.E3.L1,S14200.Y1.E4.L1,S14200.Y1.E5.L1,S14200.Y1.E6.L1,S14200.Y1.E8.L1,S20156.Y1.E2.L1",PASS,..
I19043_old,I19043,GENLAB 320 (WD78 650),tooth (molar),2021,PattersonNature2021,Context: Archaeological - Period,2200,87,400-100 BCE,..,England_MIA_LIA_o1_lc,"England, Hampshire, Winnall Down",United Kingdom,51.07,-1.29,Repulldown on 3.2M snpset,1240K,1,0.015,14802,7619,F,n/a (no relatives detected),n/a (female),n/a (female),11.91,J1c1,"[0.953,0.992]",0.066,0.013,ss.half,S19043.Y1.E1.L1,PASS,damage.ss.half=0.066
I30333,I30333,"Individual D (7689, HBG HN 81/82, South passage, Ind D)",bone (long bone),2021,FowlerOlaldeNature2021,Direct: IntCal20,5748,89,"3948-3652 calBCE (5000±70, OxA-910)",adult ,England_N_Megalithic,"England, Gloucestershire, Cheltenham, Hazleton North",United Kingdom,51.861211,-1.883011,Native Pulldown on 3.2M snpset,Twist1.4M,9,..,47107,26819,M,n/a (no relatives detected),..,..,1.053956,n/a (<2x cov),n/a (<2x),0.044,0.402,"ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half","S30333.Y1.E2.L1,S30333.Y4.E1.L1,S30333.Y4.E2.L1,S30333.Y4.E3.L1,S30333.Y4.E4.L1,S30333.Y5.E1.L1,S30333.Y5.E2.L1,S30333.Y5.E3.L1,S30333.Y5.E4.L1",IGNORE,..
I13433,I13433,KS-T1-8; comingled burial Tomb A,tooth,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3200,58,1350-1150 BCE,..,Greece_Delphi_BA_Mycenaean,"Kastrouli (Desfina, Phokis, near Delphi)",Greece,38.399083,22.575,Repulldown on 3.2M snpset,1240K,4,0.026,61071,32735,F,n/a (no relatives detected),n/a (female),n/a (female),4.033979,U3b1,"[0.91,0.992]",0.241,0.01759015,"ds.half,ds.half,ss.half,ss.half","S13433.E1.L1,S13433.E1.L2,S13433.E1.L5,S13433.E1.L6",PASS,..
I13531,I13531,KAS-3; comingled burial Tomb A,bone,2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3200,58,1350-1150 BCE,..,Greece_Delphi_BA_Mycenaean,"Kastrouli (Desfina, Phokis, near Delphi)",Greece,38.399083,22.575,Repulldown on 3.2M snpset,1240K,4,0.022,66140,36619,F,n/a (no relatives detected),n/a (female),n/a (female),16.404852,U3b,"[0.92,0.969]",0.139,0.019507187,"ds.half,ds.half,ss.half,ss.half","S13531.E1.L1,S13531.E1.L2,S13531.E1.L5,S13531.E1.L6",PASS,"mtcontam=[0.92,0.969]"
I13580,I13580,KAS-10; comingled burial Tomb A,bone,2022,LazaridisAlpaslanRoodenbergScience2022,Direct: IntCal20,3169,55,"1371-1123 calBCE (2990±25 BP, PSUAMS-6823)",..,Greece_Delphi_BA_Mycenaean,"Kastrouli (Desfina, Phokis, near Delphi)",Greece,38.399083,22.575,Repulldown on 3.2M snpset,1240K,4,0.028,133904,73842,M,n/a (no relatives detected),..,..,10.985093,K2b,"[0.967,0.997]",0.152,0.371757925,"ds.half,ds.half,ss.half,ss.half","S13580.E1.L1,S13580.E1.L2,S13580.E1.L5,S13580.E1.L6",PASS,..
I7527,I7527,GANJ_25_M,petrous,2019,NarasimhanPattersonScience2019,Context: Archaeological - Period,9900,144,8200-7700 BCE,..,Iran_GanjDareh_N,Ganj Dareh,Iran,34.45,48.116,Repulldown on 3.2M snpset,1240K,1,0.089027,98500,52553,F,n/a (no relatives detected),n/a (female),n/a (female),13.5,U7a,"[0.968,0.991]",0.084,0.013,ds.half,S7527.E1.L1,PASS,..
I2189,I2189,2014/K/066.LB005,petrous,2020,AgranatTamirCell2020,Context: Archaeological - Period,3500,29,1600-1500 BCE,juvenile,Israel_MLBA_o_brother.I2200,"Megiddo, Jezreel Valley",Israel,32.58472222,35.01694444,Repulldown on 3.2M snpset,1240K,1,0.136,131119,71570,M,"Israel, Megiddo, Jezreel Valley Family C (2 members) (I2189 and I2200 are 1st degree relatives)",..,..,44.2,U3b,"[0.996,1.000]",0.132,0.452,ds.half,S2189.E1.L1,PASS,..
I1072_enhanced_d,I1072,"NAT9, Raqefet, H16",petrous,2016,LazaridisAlpaslanRoodenbergScience2022 (higher coverage of previously reported individual from LazaridisNature2016),Context: Archaeological - Period,12700,722,12000-9500 BCE,..,Israel_Natufian_d,Raqefet Cave,Israel,32.65,35.067,Repulldown on 3.2M snpset,1240K,16,0.112,118979,63516,M,n/a (no relatives detected),..,..,8.193132,N1b,"[0.902,0.98]",0.922,0.394,"ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ss.half,ss.half,ss.half,ss.half,ss.half,ss.half,ss.half,ss.half","S1072.E3.L1,S1072.E3.L2,S1072.E2.L2,S1072.E2.L1,S1072.E1.L2,S1072.E1.L3,S1072.E1.L1,S1692.E1.L1,S1072.E2.L10,S1072.E2.L7,S1072.E2.L8,S1072.E2.L9,S1692.E1.L5,S1692.E1.L6,S1692.E1.L7,S1692.E1.L8",PASS,..
I1072_d,I1072,"NAT9 (H16) | NAT9 (Raqefet, H16)",petrous,2016,LazaridisNature2016,Context: Archaeological - Period,12700,722,12000-9500 BCE,..,Israel_Natufian,Raqefet Cave,Israel,32.65,35.067,Repulldown on 3.2M snpset,1240K,8,0.034,85253,45904,M,n/a (no relatives detected),..,..,1.897519,n/a (<2x),n/a (<2x),..,0.391066161,"ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half","S1072.E3.L1,S1072.E3.L2,S1072.E2.L2,S1072.E2.L1,S1072.E1.L2,S1072.E1.L3,S1072.E1.L1,S1692.E1.L1",PASS,..
I4427,I4427,FGA2 (Individual #1),bone (long bone),2017,LipsonSawchukNature2022 (higher coverage individual first published in SkoglundCell2017),Direct: SHCal20,6009,72,"4227-3965 calBCE (5270±25 BP, UCIAMS-186346)",juvenile,Malawi_Fingira_LSA_6000BP,Fingira,Malawi,-10.786153,33.765371,Repulldown on 3.2M snpset,1240K,2,0.23518,238124,127364,M,n/a (no relatives detected),..,..,10.083047,L0d1b2b,"[0.974,0.994]",..,..,"ds.half,ds.half","S4427.E1.L2,S4427.E1.L3",PASS,..
