parameter file: /home/dodo/projects/aDNA_Comparative_Analysis/notebooks/par.smartpca
### THE INPUT PARAMETERS
##PARAMETER NAME: VALUE
genotypename: /home/dodo/projects/aDNA_Comparative_Analysis/output/EIG_output/aadr_v54.1.p1_1240K_public_short_50.geno
snpname: /home/dodo/projects/aDNA_Comparative_Analysis/output/EIG_output/aadr_v54.1.p1_1240K_public_short_50.snp
indivname: /home/dodo/projects/aDNA_Comparative_Analysis/output/EIG_output/aadr_v54.1.p1_1240K_public_short_50.ind
evecoutname: /home/dodo/projects/aDNA_Comparative_Analysis/output/EIG_output/aadr_v54.1.p1_1240K_public_short_50.pca.evec
evaloutname: /home/dodo/projects/aDNA_Comparative_Analysis/output/EIG_output/aadr_v54.1.p1_1240K_public_short_50.pca.eval
numoutevec: 10
## smartpca version: 18140
norm used

lsqproject used
snps deleted (nodata): 0.  deletesnpoutname: for detailsnumber of samples used: 50 number of snps used: 50
number of pops for axes: 37
Using 31 threads, and partial sum lookup algorithm.
 snp           rs59986066 ignored . allelecnt:     0  missing:    48
 snp           rs11260588 ignored . allelecnt:     0  missing:    37
 snp            rs7540009 ignored . allelecnt:     0  missing:    33
 snp           rs11807848 ignored . allelecnt:     0  missing:    44
 snp            rs9442380 ignored . allelecnt:     0  missing:    41
 snp            rs6670693 ignored . allelecnt:     0  missing:    38
 snp            rs9659213 ignored . allelecnt:     0  missing:    44
 snp            rs3813199 ignored . allelecnt:     0  missing:    33
 snp          rs113791678 ignored . allelecnt:     0  missing:    32
 snp            rs3766186 ignored . allelecnt:     0  missing:    44
total number of snps killed in pass: 10  used: 40
REMOVED outlier I24542_d iter 1 evec 4 sigmage 6.349 pop: Belize_4600BP
number of samples after outlier removal: 49
total number of snps killed in pass: 12  used: 38
mpstats:     0.054    0.582    1.664    2.768760

## Tracy-Widom statistics: rows: 49  cols: 40
  #N    eigenvalue  difference    twstat      p-value effect. n
   1      7.264190          NA     0.929    0.0535703    21.053
   2      5.848048   -1.416142     0.474    0.0971147    22.363
   3      4.773682   -1.074366    -0.070     0.181064    23.337
   4      4.580391   -0.193291     1.580    0.0205602    23.869
   5      3.486352   -1.094039     0.604    0.0825144    26.634
   6      2.559019   -0.927334    -1.539     0.586066    28.312
   7      2.186687   -0.372332    -2.278     0.798747    27.787
   8      2.061576   -0.125110    -1.920     0.702669    26.660
   9      1.921382   -0.140194    -1.579     0.598834    25.761
  10      1.742510   -0.178872    -1.445     0.556327    25.113
  11      1.429560   -0.312950    -2.436     0.835079    24.564
  12      1.332811   -0.096749    -2.197     0.778609    23.161
  13      1.206236   -0.126575    -2.191     0.776979    21.881
  14      1.036546   -0.169691    -2.674     0.881964    20.554
  15      0.976855   -0.059690    -2.340     0.813605    18.842
  16      0.918133   -0.058723    -1.915      0.70133    17.295
  17      0.842040   -0.076093    -1.541     0.586723    16.003
  18      0.777438   -0.064601    -0.891      0.38361    14.970
  19      0.644733   -0.132705    -0.824     0.363907    14.601
  20      0.518529   -0.126204    -0.933     0.396105    14.314
  21      0.412837   -0.105693    -1.140     0.459518    13.863
  22      0.326762   -0.086075    -1.448     0.557367    13.095
  23      0.290295   -0.036467    -0.959      0.40394    11.881
  24      0.257462   -0.032833    -0.014      0.17069    11.227
  25      0.157998   -0.099464    -0.785     0.352845    12.936
  26      0.113996   -0.044002    -1.272      0.50104    12.676
  27      0.105523   -0.008473    -0.278     0.223849    11.402
  28      0.066490   -0.039032    -0.816     0.361621    12.779
  29      0.049670   -0.016820    -0.836     0.367545    12.460
  30      0.037171   -0.012499        NA           NA        NA
  31      0.025611   -0.011560        NA           NA        NA
  32      0.019201   -0.006410        NA           NA        NA
  33      0.013465   -0.005736        NA           NA        NA
  34      0.007962   -0.005503        NA           NA        NA
  35      0.004220   -0.003742        NA           NA        NA
  36      0.002965   -0.001256        NA           NA        NA
  37      0.001422   -0.001542        NA           NA        NA
  38      0.000231   -0.001191        NA           NA        NA
    kurtosis           snps    indivs
 eigenvector    1     2.442    15.971
 eigenvector    2     2.388     7.708
 eigenvector    3     2.949    10.715
 eigenvector    4     3.924    10.878
 eigenvector    5     5.405     5.316
 eigenvector    6     2.812    11.177
 eigenvector    7     4.313     4.701
 eigenvector    8     4.775     7.718
 eigenvector    9     3.058     5.726
 eigenvector   10    14.597     9.236
lsqproj called!
I17622 ignored (insufficient data
I13559 ignored (insufficient data
I19493_in.preparation ignored (insufficient data
I19479_in.preparation ignored (insufficient data
I8122 ignored (insufficient data
I14200 ignored (insufficient data
I19043_old ignored (insufficient data
I30333 ignored (insufficient data
I3587 ignored (insufficient data
I13433 ignored (insufficient data
I13531 ignored (insufficient data
I13580 ignored (insufficient data
I7527 ignored (insufficient data
I6441_d ignored (insufficient data
I6445 ignored (insufficient data
I2189 ignored (insufficient data
I1072_enhanced_d ignored (insufficient data
I1072_d ignored (insufficient data
I1415_enhanced ignored (insufficient data
I1701_enhanced ignored (insufficient data
I1707 ignored (insufficient data
I1709_enhanced ignored (insufficient data
I1710 ignored (insufficient data
I1704 ignored (insufficient data
I1727 ignored (insufficient data
I1415 ignored (insufficient data
I1701 ignored (insufficient data
I1709 ignored (insufficient data
I1679_enhanced ignored (insufficient data
I1708 ignored (insufficient data
I1679 ignored (insufficient data
I4427 ignored (insufficient data
I0726 ignored (insufficient data
population:   0 China_AmurRiver_EarlyN    2
population:   1   China_AmurRiver_BA    1
population:   2     Albania_BA_IA_lc    1
population:   3 Albania_EarlyModern_oCaucasus    1
population:   4   Armenia_Aknashen_N    1
population:   5  Armenia_MasisBlur_N    1
population:   6 Bahamas_SouthAndros_Ceramic    1
population:   7        Belize_4600BP    0 ***
population:   8         Bulgaria_EIA    1
population:   9      Bulgaria_LIA_lc    1
population:  10 Cuba_CanimarAbajo_Archaic    1
population:  11   Czech_IA_Hallstatt    1
population:  12 Dominican_ElSoco_Ceramic    1
population:  13 England_BellBeaker_highEEF    1
population:  14 England_BellBeaker_highWHG    1
population:  15 England_MIA_LIA_o1_lc    1
population:  16 England_N_Megalithic    1
population:  17 Germany_BellBeaker_1.or.2d.rel.of_I3588_and_I3599_contam_lc    1
population:  18 Greece_Delphi_BA_Mycenaean    3
population:  19     Iran_GanjDareh_N    1
population:  20            Iraq_PPNA    2
population:  21     Iraq_PPNA_contam    1
population:  22 Israel_MLBA_o_brother.I2200    1
population:  23    Israel_Natufian_d    1
population:  24      Israel_Natufian    1
population:  25 Israel_Natufian_contam    1
population:  26          Jordan_PPNB    7
population:  27   Jordan_PPNB_contam    2
population:  28       Jordan_PPNB_lc    1
population:  29          Jordan_PPNC    3
population:  30 Jordan_PPNC_1d.rel.I1699    1
population:  31 Malawi_Fingira_LSA_6000BP    1
population:  32 Malawi_Fingira_LSA_6000BP_noUDG    1
population:  33      Montenegro_MLBA    1
population:  34 Russia_Samara_EBA_Yamnaya    1
population:  35 Russia_Uelen_OldBeringSea    1
population:  36             Turkey_N    1
number of blocks for block jackknife: 1
number of blocks 1: no standard error
## Fst statistics between populations:         fst       std error      Z
 China_AmurRiver_EarlyN   China_AmurRiver_BA    -0.233     0.0000  -2333333333.240            11
 China_AmurRiver_EarlyN     Albania_BA_IA_lc     0.000     0.0000      0.000             0
 China_AmurRiver_EarlyN Albania_EarlyModern_oCaucasus     0.711     0.0000  7111111110.921            11
 China_AmurRiver_EarlyN   Armenia_Aknashen_N     0.741     0.0000  7407407407.078             3
 China_AmurRiver_EarlyN  Armenia_MasisBlur_N     0.909     0.0000  9090909090.579             5
 China_AmurRiver_EarlyN Bahamas_SouthAndros_Ceramic     0.000     0.0000      0.000             3
 China_AmurRiver_EarlyN        Belize_4600BP     0.000     0.0000      0.000             0
 China_AmurRiver_EarlyN         Bulgaria_EIA     0.000     0.0000      0.000             0
 China_AmurRiver_EarlyN      Bulgaria_LIA_lc     0.000     0.0000      0.000             0
